Date,new_case_number
2020-01-21,1
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,1.0
2020-01-25,1.0
2020-01-26,2.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-01,1.0
2020-02-02,3.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,1.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,1.0
2020-02-11,0.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,10.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,2.0
2020-02-21,3.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,13.0
2020-02-25,2.0
2020-02-26,15.0
2020-02-27,0.0
2020-02-28,5.0
2020-02-29,5.0
2020-03-01,18.0
2020-03-02,16.0
2020-03-03,21.0
2020-03-04,36.0
2020-03-05,67.0
2020-03-06,83.0
2020-03-07,117.0
2020-03-08,119.0
2020-03-09,201.0
2020-03-10,270.0
2020-03-11,245.0
2020-03-12,405.0
2020-03-13,556.0
2020-03-14,674.0
2020-03-15,702.0
2020-03-16,907.0
2020-03-17,1398.0
2020-03-18,2440.0
2020-03-19,4039.0
2020-03-20,5606.0
2020-03-21,6521.0
2020-03-22,8532.0
2020-03-23,10434.0
2020-03-24,10415.0
2020-03-25,14597.0
2020-03-26,17008.0
2020-03-27,17232.0
2020-03-28,20852.0
2020-03-29,18613.0
2020-03-30,21395.0
2020-03-31,24460.0
2020-04-01,26654.0
2020-04-02,29323.0
2020-04-03,32467.0
2020-04-04,35035.0
2020-04-05,25241.0
2020-04-06,29444.0
2020-04-07,31535.0
2020-04-08,31568.0
2020-04-09,34368.0
2020-04-10,33230.0
2020-04-11,31483.0
2020-04-12,26930.0
2020-04-13,25526.0
2020-04-14,26432.0
2020-04-15,29771.0
2020-04-16,31477.0
2020-04-17,31320.0
2020-04-18,28241.0
2020-04-19,25220.0
2020-04-20,27135.0
2020-04-21,25322.0
2020-04-22,28567.0
2020-04-23,33681.0
2020-04-24,36585.0
2020-04-25,34146.0
2020-04-26,26464.0
2020-04-27,22929.0
2020-04-28,24429.0
2020-04-29,26594.0
2020-04-30,30393.0
2020-05-01,33985.0
2020-05-02,29539.0
2020-05-03,25571.0
2020-05-04,21872.0
2020-05-05,22760.0
